"name","member_id","year","assembly","party","camp","seniority","n_seminars","n_cross_party","cross_party_ratio","avg_coalition_size","is_governing","is_female","is_proportional","is_seoul","province","total_terms","n_bills_led"
"강대식","L2I9861C",2025,22,"국민의힘","보수계",2,13,7,0.5385,20.31,TRUE,FALSE,FALSE,FALSE,"대구",1,79
"강동원","1WP9325U",2013,19,"더불어민주당","민주계",1,2,0,0,2,FALSE,FALSE,FALSE,FALSE,"전북",1,98
"강동원","1WP9325U",2014,19,"새정치민주연합","민주계",1,2,0,0,1,FALSE,FALSE,FALSE,FALSE,"전북",1,98
"강동원","1WP9325U",2015,19,"더불어민주당","민주계",1,2,1,0.5,22.5,FALSE,FALSE,FALSE,FALSE,"전북",1,98
"강득구","8P37634C",2020,21,"더불어민주당","민주계",1,20,7,0.35,18.55,TRUE,FALSE,FALSE,FALSE,"경기",1,108
"강득구","8P37634C",2021,21,"더불어민주당","민주계",1,48,17,0.3542,15.42,TRUE,FALSE,FALSE,FALSE,"경기",1,108
"강득구","8P37634C",2022,21,"더불어민주당","민주계",1,36,13,0.3611,18.92,FALSE,FALSE,FALSE,FALSE,"경기",1,108
"강득구","8P37634C",2023,21,"더불어민주당","민주계",1,35,16,0.4571,13.86,FALSE,FALSE,FALSE,FALSE,"경기",1,108
"강득구","8P37634C",2024,22,"더불어민주당","민주계",2,34,9,0.2647,13.97,FALSE,FALSE,FALSE,FALSE,"경기",1,60
"강득구","8P37634C",2025,22,"더불어민주당","민주계",2,33,13,0.3939,15.94,FALSE,FALSE,FALSE,FALSE,"경기",1,60
"강명구","9901388T",2024,22,"국민의힘","보수계",NA,7,3,0.4286,11.71,TRUE,NA,NA,NA,NA,NA,54
"강명구","9901388T",2025,22,"국민의힘","보수계",NA,11,4,0.3636,20.45,TRUE,NA,NA,NA,NA,NA,54
"강명순","OSC50359",2008,18,"한나라당","보수계",1,4,0,0,1,TRUE,TRUE,TRUE,FALSE,"비례대",1,32
"강명순","OSC50359",2009,18,"한나라당","보수계",1,8,0,0,1.12,TRUE,TRUE,TRUE,FALSE,"비례대",1,32
"강명순","OSC50359",2010,18,"한나라당","보수계",1,11,2,0.1818,1.55,TRUE,TRUE,TRUE,FALSE,"비례대",1,32
"강명순","OSC50359",2011,18,"한나라당","보수계",1,19,2,0.1053,1.68,TRUE,TRUE,TRUE,FALSE,"비례대",1,32
"강명순",NA,2012,19,"한나라당","보수계",2,3,0,0,1,TRUE,TRUE,TRUE,FALSE,"비례대",1,0
"강민국","GX22581L",2020,21,"국민의힘","보수계",1,1,0,0,37,FALSE,FALSE,FALSE,FALSE,"경남",1,49
"강민국","GX22581L",2021,21,"국민의힘","보수계",1,1,1,1,32,FALSE,FALSE,FALSE,FALSE,"경남",1,49
"강민국","GX22581L",2022,21,"국민의힘","보수계",1,5,5,1,35.4,TRUE,FALSE,FALSE,FALSE,"경남",1,49
"강민국","GX22581L",2023,21,"국민의힘","보수계",1,3,1,0.3333,5.67,TRUE,FALSE,FALSE,FALSE,"경남",1,49
"강민국","GX22581L",2024,22,"국민의힘","보수계",2,5,2,0.4,3,TRUE,FALSE,FALSE,FALSE,"경남",1,20
"강민국","GX22581L",2025,22,"국민의힘","보수계",2,4,2,0.5,14.75,TRUE,FALSE,FALSE,FALSE,"경남",1,20
"강민정","P2N50879",2020,21,"열린민주당","기타",1,16,7,0.4375,17.31,FALSE,TRUE,TRUE,FALSE,"비례대",1,126
"강민정","P2N50879",2021,21,"더불어민주당","민주계",1,41,15,0.3659,11.1,TRUE,TRUE,TRUE,FALSE,"비례대",1,126
"강민정","P2N50879",2022,21,"더불어민주당","민주계",1,52,19,0.3654,10.69,FALSE,TRUE,TRUE,FALSE,"비례대",1,126
"강민정","P2N50879",2023,21,"더불어민주당","민주계",1,66,23,0.3485,8.52,FALSE,TRUE,TRUE,FALSE,"비례대",1,126
"강민정",NA,2024,22,"더불어민주당","민주계",2,11,1,0.0909,5.09,FALSE,TRUE,TRUE,FALSE,"비례대",1,0
"강병원","60490713",2016,20,"더불어민주당","민주계",1,17,5,0.2941,5.88,FALSE,FALSE,FALSE,TRUE,"서울",2,94
"강병원","60490713",2017,20,"더불어민주당","민주계",1,38,15,0.3947,5.13,TRUE,FALSE,FALSE,TRUE,"서울",2,94
"강병원","60490713",2018,20,"더불어민주당","민주계",1,20,4,0.2,3.5,TRUE,FALSE,FALSE,TRUE,"서울",2,94
"강병원","60490713",2019,20,"더불어민주당","민주계",1,19,2,0.1053,6.53,TRUE,FALSE,FALSE,TRUE,"서울",2,94
"강병원","60490713",2020,21,"더불어민주당","민주계",2,14,7,0.5,4.29,TRUE,FALSE,FALSE,TRUE,"서울",2,104
"강병원","60490713",2021,21,"더불어민주당","민주계",2,10,4,0.4,16.5,TRUE,FALSE,FALSE,TRUE,"서울",2,104
"강병원","60490713",2022,21,"더불어민주당","민주계",2,11,8,0.7273,25.73,FALSE,FALSE,FALSE,TRUE,"서울",2,104
"강병원","60490713",2023,21,"더불어민주당","민주계",2,10,6,0.6,7.8,FALSE,FALSE,FALSE,TRUE,"서울",2,104
"강병원",NA,2024,22,"더불어민주당","민주계",3,1,1,1,4,FALSE,FALSE,FALSE,TRUE,"서울",2,0
