"member_id","assembly","name","name_hanja","name_eng","party","party_elected","district","district_type","committees","gender","birth_date","seniority","n_bills","n_bills_lead"
"MGE7194M",20,"김광림","金光琳","KIM GWANGLIM","자유한국당","새누리당","경북 안동시","constituency","예산결산특별위원회, 헌법개정 특별위원회, 기획재정위원회","M",1948-04-28,3,562,30
"3NM5411H",20,"김광수","金光守","KIM KWANGSOO","민주평화당","국민의당","전북 전주시갑","constituency","국회 코로나19 대책 특별위원회, 공공부문 채용비리 의혹과 관련된 국정조사특별위원회, 헌법개정 및 정치개혁 특별위원회, 국무총리(이낙연) 임명동의에 관한 인사청문특별위원회, 저출산·고령화대책 특별위원회, 예산결산특별위원회, 보건복지위원회","M",1958-06-11,1,1321,152
"OC037566",20,"김규환","金奎煥","KIM GYUHWAN","자유한국당","새누리당","비례대표","proportional","정무위원회, 국회운영위원회, 산업통상자원중소벤처기업위원회, 평창동계올림픽 및 국제경기대회지원 특별위원회, 미래일자리 특별위원회, 산업통상자원위원회","M",1956-06-18,1,730,45
"NNP30098",20,"김기선","金起善","KIM KISUN","자유한국당","새누리당","강원 원주시갑","constituency","산업통상자원중소벤처기업위원회, 예산결산특별위원회, 평창동계올림픽 및 국제경기대회지원 특별위원회, 산업통상자원위원회, 윤리특별위원회","M",1952-10-29,2,606,83
"LH97552Q",20,"김도읍","金度邑","KIM DOEUP","자유한국당","새누리당","부산 북구강서구을","constituency","국토교통위원회","M",1964-07-06,4,988,238
"DCR84445",20,"김동철","金東喆","KIM DONGCHEOL","국민의당","국민의당","광주 광산구갑","constituency","정치개혁 특별위원회, 헌법재판소 재판관 선출에 관한 인사청문특별위원회, 환경노동위원회, 국회운영위원회, 정보위원회, 헌법개정 특별위원회, 예산결산특별위원회, 국방위원회, 보건복지위원회, 윤리특별위원회","M",1955-06-30,4,784,91
"CI15627C",20,"김두관","金斗官","KIM DUKWAN","더불어민주당","더불어민주당","경기 김포시갑","constituency","","M",1959-04-10,2,740,44
"9EA39580",20,"김명연","金明淵","KIM MYUNGYEON","자유한국당","새누리당","경기 안산시단원구갑","constituency","예산결산특별위원회, 국회운영위원회, 보건복지위원회, 여성가족위원회","M",1964-02-28,2,786,76
"SNJ6318D",20,"김무성","金武星","KIM MOOSUNG","자유한국당","새누리당","부산 중구영도구","constituency","외교통일위원회","M",1951-09-20,6,305,2
"NTT8182Q",20,"김민기","金敏基","KIM MINKI","더불어민주당","더불어민주당","경기 용인시을","constituency","","M",1966-04-28,3,1196,95
"QB390802",20,"김병관","金炳官","KIM BYOUNGGWAN","더불어민주당","더불어민주당","경기 성남시분당구갑","constituency","4차 산업혁명 특별위원회, 법제사법위원회, 행정안전위원회, 청년미래 특별위원회, 산업통상자원중소벤처기업위원회, 산업통상자원위원회","M",1973-01-15,1,917,60
"8Q88373R",20,"김병기","金炳基","KIM BYUNGKEE","더불어민주당","더불어민주당","서울 동작구갑","constituency","국방위원회","M",1961-07-10,3,1573,81
"GFF1986K",20,"김병욱","金炳旭","KIM BYUNGWOOK","더불어민주당","더불어민주당","경기 성남시분당구을","constituency","","M",1965-04-15,2,1522,119
"UIZ3103R",20,"김부겸","金富謙","KIM BOOKYUM","더불어민주당","더불어민주당","대구 수성구갑","constituency","외교통일위원회, 법제사법위원회, 보건복지위원회, 농림축산식품해양수산위원회, 국방위원회, 기획재정위원회, 예산결산특별위원회","M",1958-01-21,4,286,27
"ZL32287Z",20,"김삼화","金三和","KIM SAMHWA","국민의당","국민의당","비례대표","proportional","예산결산특별위원회, 에너지 특별위원회, 국회운영위원회, 산업통상자원중소벤처기업위원회, 대법관(민유숙·안철상) 임명동의에 관한 인사청문특별위원회, 미세먼지 대책 특별위원회, 가습기살균제 사고 진상규명과 피해구제 및 재발방지 대책마련을 위한 국정조사특별위원회, 윤리특별위원회, 여성가족위원회, 환경노동위원회","F",1962-08-01,1,1742,160
"1Y73132H",20,"김상훈","金相勳","KIM SANGHOON","자유한국당","새누리당","대구 서구","constituency","정무위원회, 대미투자특별법 처리를 위한 특별위원회","M",1963-01-25,4,857,84
"UGH6481E",20,"김상희","金相姬","KIM SANGHEE","더불어민주당","더불어민주당","경기 부천시소사구","constituency","","F",1954-05-18,4,1843,146
"ZYP7962W",20,"김석기","金碩基","KIM SEOKKI","자유한국당","새누리당","경북 경주시","constituency","외교통일위원회","M",1954-08-06,3,1160,48
"DTG4846A",20,"김선동","金善東","KIM SEONDONG","자유한국당","새누리당","서울 도봉구을","constituency","국회운영위원회, 예산결산특별위원회, 정무위원회","M",1963-10-09,2,708,36
"GXT11570",20,"김성수","金聖洙","KIM SUNGSOO","더불어민주당","더불어민주당","비례대표","proportional","4차 산업혁명 특별위원회, 4차 산업혁명 특별위원회, 과학기술정보방송통신위원회, 헌법재판소장(김이수) 임명동의에 관한 인사청문특별위원회, 미래창조과학방송통신위원회","M",1956-09-09,1,948,38
"RCF90176",20,"김성식","金成植","KIM SONGSIK","국민의당","국민의당","서울 관악구갑","constituency","정치개혁 특별위원회, 4차 산업혁명 특별위원회, 저출산·고령화대책 특별위원회, 예산결산특별위원회, 기획재정위원회","M",1958-12-16,2,191,21
"9D939735",20,"김성원","金成願","KIM SUNGWON","자유한국당","새누리당","경기 동두천시연천군","constituency","산업통상자원중소벤처기업위원회","M",1973-10-15,3,1373,112
"PAB29217",20,"김성찬","金盛贊","KIM SUNGCHAN","자유한국당","새누리당","경남 창원시진해구","constituency","정보위원회, 민생경제 특별위원회, 농림축산식품해양수산위원회","M",1954-05-07,2,1247,91
