assembly,name,member_id
2,김정실,QPB7438N
2,김제능,JA716307
2,김종순,35E5145S
2,김종열,P9A2711N
2,김종회,7YD1940D
2,김준태,XCO4741M
2,김준희,QXE8642P
2,김지태,BGH8118T
2,김칠성,BH39030C
2,김태희,UM981293
2,김택술,TLD8163I
2,김택천,QZ77120E
2,김판석,YYF9009N
2,김헌식,7VV28642
2,김형덕,2QA3782S
2,김홍용,IEY8930A
2,남송학,OQ15529M
2,노기용,EXX9334K
2,류기수,P0X5375R
2,류홍,B6M4773K
2,민영복,EZ25881E
2,박기배,MBO9314M
2,박만원,6M29799L
2,박민기,SGQ7297O
2,박성우,12E91148
2,박성하,C3O1865Q
2,박세동,VUS6782F
2,박순천,9PW85797
2,박승하,X5E5576P
2,박양재,MEC1337D
2,박영래,LJS8902S
2,박영출,8WM9282F
2,박정규,PDC73944
2,박정근,FBR20229
2,박제환,GO96566I
2,박철규,2C466102
2,박철웅,NC58544B
2,박충식,NNI13192
2,박팔봉,QV89332W
2,방만수,5G76471J
2,배상연,FRL88846
2,배은희,UCU58776
2,백남식,56M1611B
2,백상규,LSN2279U
2,변광호,ZEQ7227G
2,변진갑,TWE1466J
2,서민호,1TA8481U
2,서범석,XWY90381
2,서상국,DW91877M
2,서상덕,0809298K
2,서상호,8AM3281V
2,서이환,W8O5974N
2,서장주,8XX33777
2,성득환,KUM7033L
2,소선규,WYS77814
2,송방용,S752850H
2,신각휴,GPM7798P
2,신광균,MT48752N
2,신석빈,IJ874968
2,신용욱,BN478490
2,신용훈,1RU90604
2,신익희,EWG10700
2,신중목,FL42472F
2,안만복,0MG2561E
2,안상한,GOV8415E
2,안용대,NL76279R
2,안재홍,QWA10936
2,양병일,8YG2711M
2,양우정,NMO6523Q
2,양재하,VXB19426
2,엄병학,KH47543A
2,엄상섭,FLC9014O
2,여영복,LUU1351F
2,여운홍,EKT1093T
2,연병호,WBD1789R
2,오성환,0N97198T
2,오위영,JHG3321R
2,오의관,91P86922
2,오하영,7XM9130L
2,우문,KLL2923Z
2,원세훈,OEL22041
2,유덕천,ZI941247
2,유승준,Q7Q21040
2,유인곤,MF47940K
2,육홍균,MQQ9037E
2,윤기섭,A677056A
2,윤길중,HBO3666Q
2,윤담,LHU9314W
2,윤성순,LOB2889Z
2,윤영선,9S41332J
2,윤재근,5PO5280B
2,윤치영,41C1267K
2,윤택중,MO49364U
2,이갑성,T6T90081
2,이교선,88P79646
2,이교승,E8D7118C
2,이규갑,FTT6726N
2,이긍종,THC22805
2,이도영,R9I94117
2,이동환,IBR5394B
2,이범승,MAC9680T
2,이병홍,JDX3877A
2,이상경,QDR7573H
2,이상철,V478504T
2,이석기,P4U4707W
2,이시목,0VV10878
2,이용설,NNC5364C
2,이재학,VLY2436D
2,이재형,QCI6988T
2,이종린,T4Z35182
2,이종성,NL05317X
2,이종수,6DA2612K
2,이종순,5CT14025
2,이종영,G9K69257
2,이종욱,XMM4403O
2,이종현,ZY34570Z
2,이진수,AOJ3881P
2,이채오,Y8T7496J
2,이춘기,J901932H
2,이충환,ZXL9063Y
2,이판열,EIB8028H
2,이학림,ZAR9602M
2,이한창,CEP8042O
2,이협우,SC99825C
2,이호근,KLT95444
2,임기봉,DGX4969W
2,임영신,OU64454T
2,임용순,58C7442D
2,임흥순,0ZZ4006Q
2,장건상,I2643693
2,장연송,X075326O
2,장택상,JKP8632F
2,장홍염,VA38370E
